Customer Id,Customer Name,Age,Gender,Other members in Family,Annual Average Spend,State
CUST00001,Akash Maheshwari,63,Male,1,36945.54,Punjab
CUST00002,Shehnaz Gehlot,29,Female,3,28282.48,Sikkim
CUST00003,Babalu Bharu,52,Male,3,29868.55,West Bengal
CUST00004,Preeti Joshi,41,Female,1,14854.94,Chandigarh
CUST00005,Barjraj Whied,59,Male,1,13877.01,Telangana
CUST00006,Mercy Gela,33,Female,0,11525.89,Maharashtra
CUST00007,Imamudeen Tandan,58,Male,0,22497.89,Delhi
CUST00008,Manisha Himmat,22,Female,2,21292.21,Lakshadweep
CUST00009,Shenaz Sen,42,Female,0,43309.75,Delhi
CUST00010,Manoj Harendra,57,Male,1,23867.62,Tamil Nadu
CUST00011,Arun Jindwal,41,Male,0,20480.45,Dadra & Nagar Haveli and Daman & Diu
CUST00012,Kamal Sodani,56,Male,1,15496.16,Tamil Nadu
CUST00013,Surender Rameshwar,55,Male,4,49338.76,Delhi
CUST00014,Som Kuamr,67,Male,0,44582.01,Telangana
CUST00015,Renu Rama,66,Female,3,29277.06,Mizoram
CUST00016,Jamil Chowdhary,28,Male,1,13499.26,Karnataka
CUST00017,Shiv Mandl,28,Male,4,27273.89,Punjab
CUST00018,Doly Naydu,56,Female,4,33500.9,Odisha
CUST00019,Renu Nand,47,Female,0,32570.03,Sikkim
CUST00020,Lalit Sadana,48,Male,1,30274.7,Rajasthan
CUST00021,Huma Chakarwarti,23,Female,1,39255.71,Chhattisgarh
CUST00022,Axat Harendra,56,Male,0,21864.9,Meghalaya
CUST00023,Vandana Nagar,65,Female,0,15456.56,Punjab
CUST00024,Sunita Pahuja,46,Female,0,47669.58,Andhra Pradesh
CUST00025,Sharat Uppadhya,62,Male,2,20360.74,Odisha
CUST00026,Nidhi Chander,46,Female,4,48276.68,Haryana
CUST00027,Raju Girsa,31,Male,0,31007.79,Chandigarh
CUST00028,Ranju Tayab,46,Female,0,29349.93,Madhya Pradesh
CUST00029,Vikash Useel,63,Male,4,12115.89,Assam
CUST00030,Gajender Bhahadur,64,Male,0,26530.51,Andhra Pradesh
CUST00031,Sheetal Shakeeb,60,Female,4,44821.44,West Bengal
CUST00032,Som Saxsena,26,Male,2,21745.28,Uttarakhand
CUST00033,Bhupender Rohan,33,Male,1,19264.52,Uttarakhand
CUST00034,Dharam Dham,25,Male,3,16011.65,Rajasthan
CUST00035,Anubhav Bagoriya,44,Male,2,44977.48,Chhattisgarh
CUST00036,Shenaz Maheto,21,Female,4,44505.34,Jharkhand
CUST00037,Guddu Mehato,64,Male,3,29532.55,Meghalaya
CUST00038,Harman Meen,32,Male,3,11292.9,Manipur
CUST00039,Doly Bhayana,60,Female,4,44239.66,Puducherry
CUST00040,Kajal Sarama,41,Female,3,12859.8,West Bengal
